id,sigla,nome,regiao_id,data_criacao
11,RO,RONDONIA,1,2022-10-23
12,AC,ACRE,1,2022-10-23
13,AM,AMAZONAS,1,2022-10-23
14,RR,RORAIMA,1,2022-10-23
15,PA,PARA,1,2022-10-23
16,AP,AMAPA,1,2022-10-23
17,TO,TOCANTINS,1,2022-10-23
21,MA,MARANHAO,2,2022-10-23
22,PI,PIAUI,2,2022-10-23
23,CE,CEARA,2,2022-10-23
24,RN,RIO GRANDE DO NORTE,2,2022-10-23
25,PB,PARAIBA,2,2022-10-23
26,PE,PERNAMBUCO,2,2022-10-23
27,AL,ALAGOAS,2,2022-10-23
28,SE,SERGIPE,2,2022-10-23
29,BA,BAHIA,2,2022-10-23
31,MG,MINAS GERAIS,3,2022-10-23
32,ES,ESPIRITO SANTO,3,2022-10-23
33,RJ,RIO DE JANEIRO,3,2022-10-23
35,SP,SAO PAULO,3,2022-10-23
41,PR,PARANA,4,2022-10-23
42,SC,SANTA CATARINA,4,2022-10-23
43,RS,RIO GRANDE DO SUL,4,2022-10-23
50,MS,MATO GROSSO DO SUL,5,2022-10-23
51,MT,MATO GROSSO,5,2022-10-23
52,GO,GOIAS,5,2022-10-23
53,DF,DISTRITO FEDERAL,5,2022-10-23
